
2018-02-24-14-56-57:     All: 4     Pass: 3     Failed: 1
2018-02-24-20-16-02:     All: 12     Pass: 10     Failed: 2
2018-02-25-00-16-03:     All: 12     Pass: 11     Failed: 1
2018-02-25-04-16-04:     All: 12     Pass: 11     Failed: 1
2018-02-25-08-17-00:     All: 12     Pass: 11     Failed: 1
2018-02-25-12-16-58:     All: 12     Pass: 4     Failed: 8
2018-02-25-16-16-01:     All: 12     Pass: 11     Failed: 1
2018-02-25-20-16-03:     All: 12     Pass: 4     Failed: 8
2018-02-26-00-16-01:     All: 12     Pass: 11     Failed: 1
2018-02-26-04-17-01:     All: 12     Pass: 10     Failed: 2
2018-02-26-08-16-59:     All: 12     Pass: 6     Failed: 6
2018-02-26-12-16-03:     All: 12     Pass: 11     Failed: 1
2018-02-26-16-16-06:     All: 12     Pass: 11     Failed: 1
2018-02-26-20-17-01:     All: 12     Pass: 11     Failed: 1
